
2023/12/18 (15:58:58) | ===> btop++ v.1.2.13
2023/12/18 (15:58:58) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/12/18 (19:22:58) | ===> btop++ v.1.2.13
2023/12/18 (19:22:58) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/12/18 (21:51:40) | ===> btop++ v.1.2.13
2023/12/18 (21:51:40) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/12/20 (22:53:09) | ===> btop++ v.1.2.13
2023/12/20 (22:53:09) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/12/21 (23:40:13) | ===> btop++ v.1.2.13
2023/12/21 (23:40:13) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/12/22 (23:58:25) | ===> btop++ v.1.2.13
2023/12/22 (23:58:25) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.
